video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=r1UFQJBM-s0&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@fox43,FOX43 News,"Free fries from Wendy's, Starbucks price increases | Consumer Headlines",253,1 year,"Starbucks announced an increase in prices, and Wendy's is offering free fries for the month with purchase while using the app: ...",2024-01-26 19:44:11.153828
/watch?v=nLmofOR-A10&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CNBC,CNBC,Starbucks' Prices On The Rise: Bottom Line | CNBC,806,8 years,"About CNBC: From 'Wall Street' to 'Main Street' to award winning original documentaries and Reality TV series, CNBC has you ...",2024-01-26 19:44:11.157703
/watch?v=kYxSxl5x0qY&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Starbucks to close 6 ‘high-incident’ locations in Los Angeles,127K,1 year,"Carlos Saucedo reports for the KTLA 5 News at 10 on July 12, 2022, » Subscribe to KTLA: ...",2024-01-26 19:44:11.161565
/watch?v=A5ER77kJ2vA&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@pinoytotstvusa,pinoy TOTS TV USA🇺🇸 (BUHAY AMERICA),STARBUCKS COFFEE IN LOS ANGELES CALIFORNIA USA,189,9 months,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, ...",2024-01-26 19:44:11.164581
/watch?v=jWsES0OsWiY&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@WLWT,WLWT,Starbucks Set to Raise Prices Again,411,16 years,For the second time this year Starbucks is raising prices. Expect about a 9-cent increase per cup.,2024-01-26 19:44:11.167904
/watch?v=7QWF_EsDWxQ&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CBSNewYork,CBS New York,Starbucks Raising Prices For Drip Coffee,281,5 years,Stabucks lovers are going to have to pay a bit more for drip coffee.,2024-01-26 19:44:11.170827
/watch?v=qLlrZ7696jI&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@NBCLA,NBCLA,Starbucks Closing 6 Stores in Los Angeles Area Due to Employee Safety Concerns | NBCLA,20K,1 year,"Starbucks says it is closing six of their coffee shops in the Los Angeles area, citing employee safety concerns and several ...",2024-01-26 19:44:11.174669
/watch?v=7qsDzBr1nEw&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CNN,CNN,The price of a starbucks latte in different countries,38K,10 years,Richard Quest and a team of CNN reporters with a look at the cost of a cup of coffee around the globe. More from CNN at ...,2024-01-26 19:44:11.177602
/watch?v=Wx_h-OnGAWk&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@USATODAY,USA TODAY,Starbucks raising prices across the U.S.,969,8 years,That daily cup of coffee just got a bit more expensive for some Starbucks customers. The company announced price increases ...,2024-01-26 19:44:11.180671
/watch?v=Fp8IGyNES98&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CBSMiami,CBS Miami,Starbucks To Raise Prices,107,7 years,New prices go into effect July 12th.,2024-01-26 19:44:11.183701
/watch?v=MUluVgFE07g&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@kcalnews,KCAL News,"Starbucks to permanently close 6 LA locations after reported drug use by public, crime concerns",29K,1 year,Employees at the affected stores will have the option to transfer to other locations.,2024-01-26 19:44:11.186412
/watch?v=sKJN06ZXy5Y&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@kcalnews,KCAL News,Six recently closed LA Starbucks are part of nationwide labor complaint,13K,1 month,The National Labor Relations Board issued a complaint Wednesday questioning the closures of 23 Starbucks locations ...,2024-01-26 19:44:11.189195
/watch?v=m3D0ECvdmug&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@brittmbennett,BrittM,Starbucks Price Increase,22,7 years,One of my Snapchat assignments for USA Today was to cover the Starbucks price increase. The following story was a challenge ...,2024-01-26 19:44:11.191997
/watch?v=acilTRlLJrk&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@AFP,AFP News Agency,'Dumb Starbucks' coffee shop opened in Los Angeles,1.7K,9 years,"People wait in a long line outside ""Dumb Starbucks"" coffee shop in the Los Feliz area of Los Angeles, CA, on February 10, 2014.",2024-01-26 19:44:11.194956
/watch?v=MUpzfFoXlmY&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@local12WKRC,LOCAL 12,Starbucks to raise prices this week,25,9 years,"CINCINNATI (WKRC) -- Starbucks is set to raise its prices beginning Tuesday. Across the board, the average price increase will ...",2024-01-26 19:44:11.198025
